Database import

  Current data status:
    Birds: 0
    Bands: 7
    Band Combos: 2

  Import data status:
    TODO: checking import data

Beginning import...
  Importing birds
Edelweiss: Rotoiti, Female, 01/01/94 00:00:00, Alive
Eelco: Waimakariri, Male, 01/01/10 00:00:00, Alive
Egor: Westland, Male, 10/11/11 00:00:00, Dead
Einstein: Fiordland, Male, 01/01/12 00:00:00, Alive
Ejay: Waimakariri, Female, 01/01/14 00:00:00, Alive
Eliza: Waimakariri, Female, 01/01/12 00:00:00, Alive
Ellis: Kahurangi, Female, 01/01/09 00:00:00, Alive
Elton: Kahurangi, Male, 01/01/07 00:00:00, Alive
Elvin: Westland, Male, 03/11/11 00:00:00, Alive
Emily: Kahurangi, Female, 01/01/10 00:00:00, Alive
Erin: Waimakariri, Female, , Alive
Eskimo: Rotoiti, Male, 01/01/12 00:00:00, Alive
Estrella: Kahurangi, Female, 01/01/05 00:00:00, Alive
Eva: Waimakariri, Female, 01/01/10 00:00:00, Alive
Faceplant: Waimakariri, Male, 01/01/09 00:00:00, Alive
Fanjo: Fiordland, Male, 01/01/06 00:00:00, Alive
Fast Al: Kahurangi, Male, 01/01/05 00:00:00, Alive
Fat Boy: Wanaka, Male, 01/01/09 00:00:00, Alive
Feisty: Waimakariri, Male, 01/01/09 00:00:00, Alive
Fellay: Kaikoura, Undetermined, , Alive
Fifty: Rotoiti, Male, 01/01/91 00:00:00, Dead
Filmore: Aoraki, Male, , Alive
Fish: Westland, Male, 01/01/08 00:00:00, Alive
Fizzy: Rotoiti, Male, 01/01/91 00:00:00, Alive
Flame: Kahurangi, Male, 01/01/09 00:00:00, Alive
Flappy: Westland, Undetermined, 01/01/14 00:00:00, Alive
Flare: Rotoiti, Female, 01/01/14 00:00:00, Alive
Flatty: Wanaka, Male, 01/01/09 00:00:00, Alive
Flint: Wakatipu, Male, 01/01/06 00:00:00, Alive
Flying start: Westland, Male, 01/01/04 00:00:00, Dead
Fonald: Westland, Male, 01/01/08 00:00:00, Alive
Ford Perfect: Waimakariri, Male, 01/01/14 00:00:00, Alive
Forgot: Westland, Male, 07/12/10 00:00:00, Alive
Fortune: Rotoiti, Female, 01/01/14 00:00:00, Alive
Foxxy: Aoraki, Female, , Alive
Foxy: Westland, Female, 01/01/07 00:00:00, Alive
Francis: Wakatipu, Male, 01/01/10 00:00:00, Alive
Frank: Aoraki, Male, , Alive
Frankenstein: Westland, Female, 10/11/11 00:00:00, Alive
Franny: Kahurangi, Female, 01/01/06 00:00:00, Alive
Garfunkel: Waimakariri, Male, 01/01/08 00:00:00, Dead
Gaspode: Waimakariri, Undetermined, , Alive
Gavin: Kahurangi, Male, 01/01/10 00:00:00, Dead
Gdog: Kahurangi, Male, 01/01/09 00:00:00, Alive
George: Rotoiti, Male, 01/01/93 00:00:00, Alive
Georgina: Wanaka, Female, 01/01/09 00:00:00, Alive
Gerald: Waimakariri, Male, 01/01/14 00:00:00, Alive
Ghandi: Rotoiti, Male, 01/01/88 00:00:00, Dead
Gillespie: Westland, Male, 01/01/06 00:00:00, Dead
Gina: Wakatipu, Female, 01/01/06 00:00:00, Alive
Ginette: Fiordland, Female, 01/01/08 00:00:00, Alive
Ginger Nut: Westland, Female, 01/01/11 00:00:00, Dead
Gizo: Waimakariri, Female, 01/01/09 00:00:00, Alive
Glen: Kahurangi, Male, 01/01/14 00:00:00, Alive
Gob: Waimakariri, Male, , Alive
Goji: Waimakariri, Female, 01/01/09 00:00:00, Alive
Goliath: Aoraki, Male, , Alive
Goodall: Waimakariri, Female, , Alive
Goodman: Rotoiti, Undetermined, 28/12/14 00:00:00, Alive
Goofy: Aoraki, Male, , Alive
Gordie Howe: Waimakariri, Male, 01/01/07 00:00:00, Alive
Gordon: Fiordland, Male, 01/01/07 00:00:00, Alive
Grease nipple: Rotoiti, Male, 01/01/94 00:00:00, Alive
Greebo: Waimakariri, Male, , Dead
Griffin: Fiordland, Male, 01/01/12 00:00:00, Alive
Grommit: Aoraki, Male, , Alive
Grutli: Wakatipu, Male, 01/01/11 00:00:00, Alive
Guinness: Westland, Male, 01/01/09 00:00:00, Alive
Gumby: Waimakariri, Male, 01/01/15 00:00:00, Alive
Gus: Wanaka, Male, 01/01/13 00:00:00, Alive
Gyp: Fiordland, Male, 01/01/08 00:00:00, Alive
Hamburglar: Westland, Male, 05/12/11 00:00:00, Alive
Hamish: Waimakariri, Male, 01/01/09 00:00:00, Dead
Handlebars: Waimakariri, Female, 01/01/12 00:00:00, Alive
Hannah: Waimakariri, Female, 01/01/12 00:00:00, Alive
Harry: Kahurangi, Male, 01/01/06 00:00:00, Missing
Haupara: Waimakariri, Male, 01/01/15 00:00:00, Alive
Hayley: Waimakariri, Female, 01/01/12 00:00:00, Alive
Hazel: Rotoiti, Female, 01/01/14 00:00:00, Alive
Hector: Rotoiti, Male, 01/01/09 00:00:00, Alive
Heidi: Rotoiti, Undetermined, 01/01/95 00:00:00, Alive
Helen Clark: Kahurangi, Female, 01/01/07 00:00:00, Alive
Hellboy: Wakatipu, Male, 01/01/10 00:00:00, Alive
Hendrix: Kahurangi, Male, 01/01/10 00:00:00, Alive
Henri Des: Fiordland, Male, 01/01/10 00:00:00, Alive
Herbert: Waimakariri, Male, 01/01/06 00:00:00, Alive
Hermes: Aoraki, Male, , Alive
HighFeather: Waimakariri, Male, 01/01/09 00:00:00, Alive
Hijac: Rotoiti, Male, 01/01/10 00:00:00, Alive
Hine: Westland, Female, 01/01/10 00:00:00, Alive
Hiness: Rotoiti, Female, 01/01/10 00:00:00, Alive
Hobbit: Westland, Female, 01/01/05 00:00:00, Alive
Hobo: Waimakariri, Male, 01/01/08 00:00:00, Alive
Hoheria: Waimakariri, Female, 01/01/15 00:00:00, Alive
Hohoro: Waimakariri, Male, 01/01/14 00:00:00, Alive
Hoki: Waimakariri, Female, 01/01/08 00:00:00, Alive
Homer: Aoraki, Male, , Alive
Homer Buddy: Fiordland, Male, 01/01/06 00:00:00, Alive
Homer Chief: Fiordland, Male, 01/01/06 00:00:00, Alive
Honey: Waimakariri, Female, 01/01/08 00:00:00, Dead
Hoopy: Aoraki, Male, , Alive
Hoover: Waimakariri, Male, 01/01/10 00:00:00, Alive
Hope: Waimakariri, Female, 01/01/09 00:00:00, Alive
Hopman: Westland, Male, 01/01/07 00:00:00, Alive
Hoppy: Rotoiti, Male, 01/01/05 00:00:00, Alive
Hordor: Westland, Male, 06/12/12 00:00:00, Alive
Houdini: Westland, Male, 01/01/09 00:00:00, Alive
How: Waimakariri, Female, 01/01/06 00:00:00, Dead
Hubert: Aoraki, Male, , Alive
Hueco: Westland, Female, 01/01/05 00:00:00, Alive
Hugh: Waimakariri, Male, 01/01/09 00:00:00, Alive
Huia: Waimakariri, Female, 01/01/09 00:00:00, Alive
Hulk: Westland, Undetermined, 01/01/14 00:00:00, Alive
Hut Warden: Fiordland, Male, 01/01/07 00:00:00, Alive
Huta: Westland, Undetermined, 05/12/10 00:00:00, Alive
Hutch: Wakatipu, Male, 01/01/07 00:00:00, Alive
Hyla: Waimakariri, Female, 01/01/09 00:00:00, Alive
Ice Zeiss: Rotoiti, Male, 14/12/94 00:00:00, Dead
Iliad: Kahurangi, Male, 01/01/10 00:00:00, Alive
India: Waimakariri, Female, 01/01/10 00:00:00, Alive
Iron: Kahurangi, Male, 01/01/11 00:00:00, Alive
Iza: Westland, Female, 23/02/12 00:00:00, Alive
J2: Westland, Male, 12/11/11 00:00:00, Alive
JA: Kahurangi, Male, 01/01/09 00:00:00, Alive
Jabby: Kahurangi, Male, 01/01/10 00:00:00, Alive
Jack: Fiordland, Male, 01/01/06 00:00:00, Alive
Jackie Moon: Wakatipu, Male, 01/01/07 00:00:00, Alive
Jackson: Waimakariri, Male, 01/01/10 00:00:00, Alive
Jacob: Waimakariri, Male, 01/01/09 00:00:00, Alive
Jacob Boy: Westland, Male, 01/01/07 00:00:00, Missing
Jadam: Westland, Male, 04/12/08 00:00:00, Alive
Jam: Kahurangi, Undetermined, 01/01/09 00:00:00, Alive
Jamie: Westland, Female, 01/01/10 00:00:00, Alive
Jan: Waimakariri, Female, , Alive
Jane: Fiordland, Female, 01/01/06 00:00:00, Alive
Jaqueline: Fiordland, Female, 01/01/10 00:00:00, Alive
Jase: Waimakariri, Male, 01/01/12 00:00:00, Alive
Jasper: Waimakariri, Male, , Alive
Jean Jean: Fiordland, Male, 01/01/10 00:00:00, Alive
Jeff: Kahurangi, Male, 01/01/09 00:00:00, Alive
Jellyroll: Rotoiti, Male, 01/01/09 00:00:00, Alive
Jem: Rotoiti, Female, 01/01/98 00:00:00, Alive
Jenny: Kahurangi, Female, 01/01/12 00:00:00, Alive
Jess: Waimakariri, Female, 01/01/06 00:00:00, Alive
Jesse: Waimakariri, Male, 01/01/10 00:00:00, Alive
Jimmy: Waimakariri, Male, 01/01/06 00:00:00, Alive
Joana: Waimakariri, Female, 01/01/09 00:00:00, Alive
Job: Rahu, Male, 01/01/06 00:00:00, Alive
Jock: Waimakariri, Male, 01/01/07 00:00:00, Alive
Joe: Westland, Male, 01/01/05 00:00:00, Alive
Joel: Westland, Male, 01/01/10 00:00:00, Alive
Johanna: Waimakariri, Female, , Alive
Johnny: Aoraki, Male, , Alive
JoJo: Westland, Male, 01/01/03 00:00:00, Alive
Jolly: Kahurangi, Male, 01/01/14 00:00:00, Dead
Joop: Waimakariri, Male, 01/01/09 00:00:00, Alive
Jorge: Waimakariri, Male, 01/01/15 00:00:00, Alive
Joris: Kahurangi, Male, 01/01/12 00:00:00, Alive
Joseph powell: Westland, Undetermined, , Alive
Josh: Waimakariri, Male, 01/01/09 00:00:00, Alive
Joy: Rotoiti, Female, 31/12/98 00:00:00, Alive
JP: Wanaka, Male, 01/01/09 00:00:00, Alive
Judas: Waimakariri, Male, 01/01/08 00:00:00, Alive
Juggernaut: Kahurangi, Male, 01/01/10 00:00:00, Alive
Julia: Waimakariri, Female, 02/01/10 00:00:00, Alive
Julie: Kahurangi, Female, 01/01/13 00:00:00, Alive
Julien: Wakatipu, Male, 01/01/09 00:00:00, Alive
Julius: Rotoiti, Male, 01/01/08 00:00:00, Alive
June: Waimakariri, Female, 01/01/10 00:00:00, Alive
Juno: Kahurangi, Female, 12/01/12 00:00:00, Alive
Jupiter: Rotoiti, Male, 01/01/13 00:00:00, Alive
Kaha: Waimakariri, Male, 01/01/16 00:00:00, Alive
Kaitlyn: Westland, Female, 14/11/12 00:00:00, Dead
Kaka: Waimakariri, Female, 01/01/13 00:00:00, Alive
Kakapo: Kakapo, Undetermined, , Alive
Karearea: Rotoiti, Male, 01/01/94 00:00:00, Alive
Karina: Kahurangi, Female, 30/11/09 00:00:00, Alive
Karyn: Waimakariri, Female, 01/01/12 00:00:00, Alive
Kasper: Rahu, Male, 01/01/08 00:00:00, Alive
